entry_id,entry_type,date,line_no,dc,account,amount_eur,source_currency,source_amount,rate_source,rate_used,memo,status
TX_bb992164_0043,single,2025-06-30,1,D,61120,1.02,EUR,-1.02,,,"179063309 PLAIS palaikymo mokestis.+51232/60+2025-06-27+Debeto mokėjimo nurodymas Nr. 51232 Soc. dr. įmokų įsiskolinimas už 2025 m. 05 mėn., dok. nr. 51232/60-123, unik. mokėj. kodas 51232/60-120, mok. ident. kodas 303104758, operacijos nr. RO1915117914L01",draft
TX_bb992164_0043,single,2025-06-30,2,C,2710,1.02,EUR,-1.02,,,"179063309 PLAIS palaikymo mokestis.+51232/60+2025-06-27+Debeto mokėjimo nurodymas Nr. 51232 Soc. dr. įmokų įsiskolinimas už 2025 m. 05 mėn., dok. nr. 51232/60-123, unik. mokėj. kodas 51232/60-120, mok. ident. kodas 303104758, operacijos nr. RO1915117914L01",draft
TX_bb992164_0044,single,2025-06-30,1,D,635,48.69,EUR,-48.69,,,"+51232/60+2025-06-27+Debeto mokėjimo nurodymas Nr. 51232 Soc. dr. įmokų įsiskolinimas už 2025 m. 05 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 51232/60-124, unik. mokėj. kodas 51232/60-119, mok. ident. kodas 303104758, operacijos nr. RD254075501",draft
TX_bb992164_0044,single,2025-06-30,2,C,2710,48.69,EUR,-48.69,,,"+51232/60+2025-06-27+Debeto mokėjimo nurodymas Nr. 51232 Soc. dr. įmokų įsiskolinimas už 2025 m. 05 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 51232/60-124, unik. mokėj. kodas 51232/60-119, mok. ident. kodas 303104758, operacijos nr. RD254075501",draft
TX_bb992164_0045,single,2025-07-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už liepą 2025, operacijos nr. RO1924069346L01",draft
TX_bb992164_0045,single,2025-07-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už liepą 2025, operacijos nr. RO1924069346L01",draft
TX_bb992164_0046,single,2025-07-28,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1947410151L03",draft
TX_bb992164_0046,single,2025-07-28,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1947410151L03",draft
TX_bb992164_0047,single,2025-07-28,1,D,61120,1.02,EUR,-1.02,,,"180668099 PLAIS palaikymo mokestis.+61606/60+2025-07-25+Debeto mokėjimo nurodymas Nr. 61606 Soc. dr. įmokų įsiskolinimas už 2025 m. 6 mėn. , dok. nr. 61606/60-179, unik. mokėj. kodas 61606/60-176, mok. ident. kodas 303104758, operacijos nr. RO1947410151L01",draft
TX_bb992164_0047,single,2025-07-28,2,C,2710,1.02,EUR,-1.02,,,"180668099 PLAIS palaikymo mokestis.+61606/60+2025-07-25+Debeto mokėjimo nurodymas Nr. 61606 Soc. dr. įmokų įsiskolinimas už 2025 m. 6 mėn. , dok. nr. 61606/60-179, unik. mokėj. kodas 61606/60-176, mok. ident. kodas 303104758, operacijos nr. RO1947410151L01",draft
TX_bb992164_0048,single,2025-07-28,1,D,635,48.69,EUR,-48.69,,,"+61606/60+2025-07-25+Debeto mokėjimo nurodymas Nr. 61606 Soc. dr. įmokų įsiskolinimas už 2025 m. 6 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 61606/60-180, unik. mokėj. kodas 61606/60-175, mok. ident. kodas 303104758, operacijos nr. RD256975863",draft
TX_bb992164_0048,single,2025-07-28,2,C,2710,48.69,EUR,-48.69,,,"+61606/60+2025-07-25+Debeto mokėjimo nurodymas Nr. 61606 Soc. dr. įmokų įsiskolinimas už 2025 m. 6 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 61606/60-180, unik. mokėj. kodas 61606/60-175, mok. ident. kodas 303104758, operacijos nr. RD256975863",draft
TX_bb992164_0050,single,2025-01-16,1,D,4430,0.01,EUR,-0.01,,,"Sutartis A200002297/palūkanų mokėjimas/0.01 EUR/A200002297 .01 EUR/0.87443000/, operacijos nr. RO1731021868L01",draft
TX_bb992164_0050,single,2025-01-16,2,C,2710,0.01,EUR,-0.01,,,"Sutartis A200002297/palūkanų mokėjimas/0.01 EUR/A200002297 .01 EUR/0.87443000/, operacijos nr. RO1731021868L01",draft
